word,cosine_distance
expand,0.30395546555519104
crore,0.25770270824432373
vijayan,0.24691954255104065
science,0.23460155725479126
npr,0.22786755859851837
lands,0.2270917147397995
weekends,0.227077454328537
league,0.2205415517091751
index,0.2194645255804062
brat,0.21641334891319275
dark,0.2138475626707077
ipdelivered,0.2092963606119156
embrace,0.2088490128517151
wants,0.2077462077140808
kalras,0.20766443014144897
shopping,0.20448777079582214
using,0.2019258737564087
roundup,0.19991432130336761
dance,0.19870930910110474
jugal,0.19851602613925934
rates,0.19748573005199432
59,0.19649074971675873
1st,0.1960555911064148
do,0.19570180773735046
worse,0.19397036731243134
percentile,0.19367541372776031
hindus,0.193166583776474
aankhon,0.1931304782629013
conduct,0.19221946597099304
culture,0.19173464179039001
ethics,0.19129914045333862
tv,0.19058167934417725
engagement,0.1901901364326477
breast,0.19012539088726044
9280,0.18946708738803864
issued,0.18910761177539825
resolution,0.18860171735286713
insulted,0.18847957253456116
monitoring,0.18691539764404297
anand,0.18622125685214996
tithi,0.1850089728832245
bloom,0.18414093554019928
sargam,0.1841336041688919
police,0.1835324764251709
rajkummar,0.180739164352417
nse,0.18010948598384857
emotional,0.1795007586479187
zodiac,0.17938369512557983
infantry,0.17901472747325897
sufferers,0.17692865431308746
released,0.17630787193775177
develop,0.17605413496494293
conviction,0.17544835805892944
product,0.17499133944511414
working,0.1749541163444519
opting,0.1739835888147354
another,0.1734747290611267
pace,0.17330019176006317
payega,0.1732742190361023
kitchen,0.1731347143650055
recovering,0.1730954498052597
rawal,0.17287901043891907
5000,0.17108963429927826
recoveries,0.1700817048549652
personal,0.1697549670934677
trains,0.1686789095401764
variant,0.16867735981941223
dont,0.1686062514781952
least,0.168174147605896
alert,0.1674925684928894
wedding,0.16710010170936584
laugh,0.1670348048210144
ja,0.16570822894573212
names,0.16505903005599976
550,0.16480731964111328
special,0.1648036688566208
october,0.1642274707555771
break,0.16412203013896942
homes,0.163801908493042
tensions,0.16373051702976227
mayor,0.16357550024986267
coaster,0.16319498419761658
missing,0.163176029920578
growth,0.16307319700717926
bump,0.16282813251018524
gudi,0.16167518496513367
manohar,0.16096152365207672
jhas,0.16034682095050812
147,0.16011831164360046
rebirth,0.1599486768245697
support,0.1594836413860321
civil,0.15927140414714813
decide,0.15924759209156036
40,0.15864720940589905
2,0.1582457572221756
clash,0.15795475244522095
25079,0.15757545828819275
shivay,0.1574932187795639
supporting,0.15735207498073578
adaptation,0.15716411173343658
