word,cosine_distance
security,0.24912701547145844
3rd,0.2329242080450058
wriddhiman,0.22735117375850677
workers,0.21989750862121582
shubho,0.2188790738582611
poll,0.2142358273267746
postponed,0.2131301909685135
meher,0.21156130731105804
idols,0.2111833393573761
engagement,0.20941300690174103
strict,0.20833520591259003
presidential,0.2080763876438141
cuts,0.20397602021694183
chai,0.20347999036312103
staff,0.2019587904214859
fan,0.20066456496715546
social,0.19964024424552917
policy,0.19706977903842926
diy,0.19669599831104279
tv,0.1965024471282959
demolished,0.196039617061615
chairperson,0.19590795040130615
infections,0.195417582988739
updates,0.19432350993156433
replaces,0.19412562251091003
candidate,0.19229371845722198
alive,0.19094441831111908
pandemic,0.19079214334487915
swaps,0.19061990082263947
i,0.19028513133525848
ingemar,0.18976832926273346
changing,0.18929584324359894
parents,0.1881810426712036
passed,0.18709391355514526
fastest,0.18581733107566833
seen,0.18424518406391144
mini,0.18412674963474274
fix,0.1833658218383789
prudhvi,0.18279604613780975
remand,0.18130885064601898
destinations,0.18001757562160492
bollywood,0.17947833240032196
andaman,0.17862644791603088
dutt,0.177499458193779
borrowers,0.17745743691921234
murder,0.17743296921253204
banjara,0.1772354692220688
secy,0.17662078142166138
shows,0.17655929923057556
amitabh,0.17646948993206024
couple,0.1763576865196228
punjabi,0.17632147669792175
them,0.1753661185503006
ballabhgarh,0.1747458577156067
justin,0.1744493991136551
style,0.1732494831085205
scores,0.17316454648971558
tour,0.17267093062400818
indefinite,0.17214423418045044
cast,0.1707715094089508
variants,0.17071762681007385
gour,0.17000503838062286
ghaziabad,0.16961681842803955
flip,0.1691984236240387
casting,0.16877207159996033
docs,0.1677987277507782
arc,0.16757778823375702
answers,0.16753950715065002
details,0.16659748554229736
university,0.1665494441986084
series,0.1659206748008728
busts,0.16569148004055023
cut,0.1649826020002365
cartoons,0.16424348950386047
quarantine,0.16402986645698547
generations,0.1639796495437622
chef,0.16379950940608978
bahut,0.16363738477230072
dhoni,0.1635727435350418
deputy,0.16348926723003387
went,0.16289910674095154
hurled,0.1618899703025818
applied,0.16102708876132965
snapdragon,0.15853139758110046
think,0.15851378440856934
haldi,0.1582234501838684
girlfriend,0.15794967114925385
probe,0.15786874294281006
mobile,0.15776678919792175
see,0.15753504633903503
ensure,0.15729820728302002
42999,0.15685616433620453
violating,0.15611721575260162
par,0.1556142121553421
sukanya,0.15558364987373352
messis,0.15508459508419037
feb,0.15491969883441925
kapil,0.1548652946949005
3591,0.1544910967350006
upgrade,0.15441280603408813
