word,cosine_distance
comes,0.3035164177417755
turn,0.28060218691825867
fauci,0.2531401813030243
raveena,0.2475368082523346
health,0.2447589486837387
joe,0.24324193596839905
our,0.240854874253273
suryavanshi,0.24028551578521729
networks,0.2391134649515152
chehra,0.2377045899629593
took,0.23568396270275116
2,0.2329765111207962
campaign,0.22895485162734985
80th,0.22868849337100983
45,0.22804605960845947
pick,0.22735589742660522
liable,0.2270360291004181
watched,0.21996919810771942
anindya,0.21881714463233948
majhi,0.21750515699386597
action,0.2161838412284851
iqbal,0.21439704298973083
experts,0.21431906521320343
outbreak,0.21153584122657776
worth,0.2112327516078949
lines,0.2094002515077591
bumrah,0.20903244614601135
alluring,0.2062707543373108
cheers,0.20588748157024384
rss,0.2050006091594696
5yearold,0.2023077756166458
batch,0.20148658752441406
issued,0.20032870769500732
लेटेस्ट,0.19833044707775116
500,0.19819621741771698
2017,0.19686564803123474
‘,0.19669465720653534
kathiawadi,0.19132393598556519
silver,0.1909734457731247
english,0.19095629453659058
organization,0.1884467452764511
validity,0.18834742903709412
found,0.18767379224300385
composition,0.18682119250297546
screen,0.18562409281730652
celebrated,0.18519392609596252
seat,0.184561088681221
significance,0.1837761253118515
acts,0.18373116850852966
tejashwi,0.1819782555103302
50,0.18159961700439453
gale,0.18124784529209137
helio,0.1798919439315796
mein,0.17981746792793274
wealthy,0.17975451052188873
register,0.17972713708877563
jointly,0.17957308888435364
dragged,0.17899511754512787
help,0.1787596046924591
youth,0.17704367637634277
maths,0.17659775912761688
total,0.17655819654464722
sunrisers,0.17446254193782806
distributing,0.17446205019950867
placements,0.1738177090883255
standoff,0.17362569272518158
video,0.17266251146793365
executive,0.1723315715789795
oakleaf,0.17231065034866333
ho,0.17180737853050232
uncles,0.17163336277008057
foods,0.17130617797374725
chandrasekhar,0.17084157466888428
your,0.1698283553123474
held,0.1695639193058014
fliers,0.16926933825016022
flaunts,0.16914434731006622
filmfare,0.16851375997066498
redmi,0.16784551739692688
directors,0.1677689105272293
stepbystep,0.16738152503967285
imd,0.1671992540359497
kaateep90did,0.16644692420959473
hindi,0.16605563461780548
crucial,0.16549105942249298
wave,0.16502749919891357
deductions,0.1648002415895462
pune,0.16473625600337982
dwivedis,0.16461902856826782
hopes,0.16356946527957916
rashmika,0.16352951526641846
ends,0.1632681041955948
downloads,0.1624646782875061
plan,0.16233250498771667
duplicate,0.16192802786827087
top,0.16103334724903107
astrology,0.16070592403411865
ties,0.1605934500694275
houses,0.15933384001255035
reacted,0.15859416127204895
