word,cosine_distance
governance,0.2634876072406769
team,0.2624414563179016
note,0.2403980940580368
392,0.24029214680194855
infantry,0.23834161460399628
popular,0.23673444986343384
debutants,0.23163661360740662
la,0.22929659485816956
48,0.22879666090011597
starrer,0.2230219542980194
latter,0.22150880098342896
nov,0.2204720377922058
conversation,0.21706674993038177
70yearold,0.21476979553699493
rent,0.2146575152873993
avoided,0.2145826667547226
remove,0.21254688501358032
round,0.21175311505794525
lives,0.20980313420295715
how,0.20921733975410461
dowry,0.20689250528812408
gloster,0.20539432764053345
300,0.204083651304245
sputnik,0.20364946126937866
remember,0.20346057415008545
hai,0.20319268107414246
johars,0.20089571177959442
justice,0.19920134544372559
quick,0.1988985240459442
breakthrough,0.19839364290237427
zain,0.19803386926651
horoscope,0.1972864419221878
gadgets,0.19307862222194672
luxury,0.19281157851219177
timings,0.19131670892238617
2055,0.19016316533088684
chattopadhyay,0.19001109898090363
where,0.18946418166160583
final,0.18932944536209106
public,0.18863876163959503
rewa,0.18838240206241608
threatens,0.1861611306667328
meets,0.18512795865535736
tamilrockers,0.18354679644107819
prices,0.18264485895633698
recorded,0.18248888850212097
meal,0.18196658790111542
nears,0.18153387308120728
15356,0.18061001598834991
méxico,0.180474191904068
highest,0.17907580733299255
terrorists,0.17759038507938385
study,0.1766241192817688
microphone,0.17635758221149445
registration,0.17606320977210999
fully,0.17547309398651123
infra,0.17509804666042328
modi,0.174031063914299
8k,0.17399725317955017
mommytobe,0.17352917790412903
calculator,0.17274384200572968
dismisses,0.17211830615997314
indore,0.17106622457504272
neha,0.17060425877571106
mahadik,0.1705353558063507
sabha,0.17013797163963318
global,0.17002098262310028
boost,0.16949427127838135
13,0.16944105923175812
plant,0.16747580468654633
crore,0.16704922914505005
eager,0.16635173559188843
factors,0.16615928709506989
khattar,0.1659521460533142
bust,0.16568337380886078
sanction,0.1649920493364334
points,0.1646823137998581
nominations,0.16456399857997894
sporting,0.1644481122493744
terror,0.16436104476451874
magnite,0.16416674852371216
80th,0.16390830278396606
bidens,0.16383852064609528
74th,0.16378676891326904
jonas,0.16366998851299286
vacation,0.16339673101902008
chandra,0.16218635439872742
song,0.16138891875743866
deaths,0.16087478399276733
हिन्दी,0.16057391464710236
transits,0.16048291325569153
nikki,0.16042475402355194
evacuated,0.15961138904094696
captioning,0.15937396883964539
private,0.15905043482780457
tiwari,0.15885834395885468
recovered,0.15883997082710266
event,0.158714160323143
winner,0.1583569496870041
pushes,0.15819938480854034
