word,cosine_distance
herself,0.33067262172698975
shiffrin,0.3065904676914215
rohitashv,0.2793024182319641
language,0.254285603761673
turmoil,0.25350192189216614
3b,0.25236883759498596
jail,0.25170254707336426
rohingya,0.24427589774131775
918,0.24360018968582153
anindya,0.233913391828537
100000,0.23061183094978333
sahil,0.22546125948429108
we,0.22196990251541138
2353,0.2193984091281891
inflow,0.21318060159683228
competitive,0.21074265241622925
highest,0.20986825227737427
members,0.20846311748027802
bishorjon,0.20562800765037537
religious,0.20473888516426086
popes,0.20409917831420898
scarves,0.20360077917575836
unfiltered,0.20307151973247528
award,0.2005108892917633
tractor,0.200380340218544
mission,0.20018857717514038
nsa,0.19942452013492584
microwave,0.19599610567092896
class,0.19582891464233398
excited,0.19531792402267456
scam,0.19406147301197052
antifake,0.19302894175052643
construction,0.1912943422794342
healthier,0.19043833017349243
everywhere,0.18920478224754333
newly,0.18885481357574463
ritual,0.18825584650039673
aayog,0.1851104199886322
ipo,0.1847880482673645
floods,0.18457026779651642
itself,0.1844414621591568
z,0.1833345741033554
emotional,0.18260058760643005
indusind,0.1825486123561859
paytm,0.1820465475320816
92,0.1815246045589447
travel,0.1806170642375946
devgn,0.180463507771492
products,0.18039573729038239
water,0.17923472821712494
pending,0.17903944849967957
golmaal,0.1787017285823822
nifty,0.1779673844575882
update,0.17784880101680756
blaze,0.1775069385766983
boards,0.1763632744550705
reacts,0.17562800645828247
fix,0.17487183213233948
45,0.17464618384838104
andaman,0.17396418750286102
closed,0.17276640236377716
wireless,0.17265161871910095
obstacles,0.1724945604801178
plant,0.17215730249881744
j,0.17123065888881683
episode,0.17094023525714874
ram,0.17053154110908508
bells,0.1704774796962738
ec,0.17008647322654724
sops,0.16992869973182678
saturday,0.1695387214422226
roshan,0.1693097949028015
distorts,0.16911251842975616
divas,0.16892960667610168
anil,0.16880086064338684
dharavi,0.1686379313468933
began,0.16849321126937866
mumbaikars,0.1684240698814392
kundali,0.16834838688373566
development,0.16794119775295258
panther,0.16792632639408112
fbs,0.1673625111579895
m31,0.16732577979564667
indore,0.16708122193813324
comeback,0.16652002930641174
battery,0.16609597206115723
bhasins,0.16539570689201355
bihar,0.16469542682170868
gudipadwa2020,0.1642850637435913
kitchlus,0.16398268938064575
adjourns,0.16339197754859924
integrated,0.16335345804691315
statue,0.16318698227405548
put,0.16299760341644287
immune,0.1626473218202591
hair,0.16263025999069214
amd,0.1622021496295929
saga,0.16197332739830017
la,0.1611434817314148
avoided,0.16035698354244232
