word,cosine_distance
kab,0.3186453580856323
kulwant,0.27904555201530457
336,0.26514095067977905
finance,0.260832279920578
sewing,0.25409644842147827
shahs,0.2475883662700653
assisting,0.24721646308898926
body,0.24437306821346283
secy,0.24157540500164032
upgrade,0.23941247165203094
recruitment,0.22827742993831635
15000,0.2224709838628769
hes,0.22170490026474
offer,0.22024232149124146
replaced,0.2187647819519043
speeds,0.2157243937253952
hain,0.21545760333538055
cheap,0.2125057578086853
dawkins,0.21129922568798065
golden,0.21095046401023865
test,0.209197998046875
editions,0.20800723135471344
admitted,0.2064000815153122
flying,0.2063453644514084
jammu,0.20597884058952332
colleges,0.2044735550880432
absolutely,0.20403338968753815
pact,0.20370648801326752
play,0.20080627501010895
post,0.1990433633327484
tesla,0.19818317890167236
2017,0.19802255928516388
kingpin,0.19797641038894653
boses,0.19734330475330353
panel,0.19614897668361664
top,0.19614538550376892
statement,0.19506977498531342
emerged,0.19504858553409576
generation,0.19472812116146088
postponed,0.19444745779037476
operators,0.192301943898201
batch,0.19165503978729248
25bn,0.1916017383337021
micromax,0.18940792977809906
srinagar,0.18921519815921783
attention,0.18848150968551636
card,0.18829423189163208
hindustani,0.1879018247127533
bust,0.18694788217544556
flu,0.1860373467206955
gone,0.1859414279460907
showdown,0.18591471016407013
latter,0.18358537554740906
news,0.18343237042427063
triomphe,0.1824132353067398
agarwal,0.18143804371356964
resistance,0.18067163228988647
atal,0.17846600711345673
tonushree,0.17733338475227356
gran,0.17725303769111633
ravanas,0.17700108885765076
na,0.1769978404045105
sunil,0.17620527744293213
so,0.17607474327087402
survey,0.17456026375293732
fashion,0.17431852221488953
unlock,0.17379875481128693
demolished,0.1728132963180542
akhtar,0.1726820021867752
launch,0.17267876863479614
anushka,0.1724797934293747
inflow,0.17222730815410614
starts,0.17218850553035736
s20,0.17126767337322235
hindi,0.169955775141716
a,0.16991107165813446
respectively,0.16965250670909882
begins,0.1690668910741806
wastetoenergy,0.16741763055324554
blank,0.1669512242078781
environment,0.16663679480552673
stress,0.16520828008651733
papa,0.1640307605266571
storage,0.16373661160469055
cbse,0.16319707036018372
police,0.1625504344701767
confronts,0.16230827569961548
once,0.16188009083271027
sharma,0.16156357526779175
purple,0.1608746498823166
cross,0.160861998796463
pavitra,0.1599404215812683
42,0.15892958641052246
tenants,0.1585478037595749
kumars,0.1580832451581955
college,0.15778501331806183
prabhas,0.15777312219142914
working,0.15734516084194183
precautionary,0.15719068050384521
chandrayaan2,0.1569513976573944
