word,cosine_distance
cleaner,0.27941152453422546
adults,0.2743667960166931
android,0.2531757652759552
rockers,0.24070164561271667
complex,0.2350200116634369
deaths,0.23259751498699188
opener,0.23210211098194122
dynastic,0.2313653528690338
rajan,0.22338366508483887
moratorium,0.22003984451293945
paswan,0.21810540556907654
haves,0.2149077206850052
murders,0.21487288177013397
arc,0.21441349387168884
svanidhi,0.21258819103240967
–,0.2118941992521286
farm,0.21088765561580658
bhatt,0.20540015399456024
spike,0.20237067341804504
last,0.20195473730564117
postponement,0.20064690709114075
ray,0.19928234815597534
tcl,0.19898197054862976
mandanna,0.19758757948875427
evacuated,0.19745749235153198
17yearold,0.1968512088060379
diaries,0.19681498408317566
among,0.19594615697860718
biggest,0.19587509334087372
floyd,0.19495785236358643
devgn,0.1945551037788391
couple,0.19336077570915222
v,0.19148242473602295
4th,0.19107450544834137
should,0.1909840852022171
researchers,0.1902228444814682
wanted,0.19019535183906555
ebrahim,0.1884116381406784
sanction,0.18686826527118683
phase,0.18632693588733673
5000,0.18615098297595978
award,0.18511196970939636
palazzo,0.18446041643619537
nomiation,0.18404892086982727
wb,0.1839602142572403
boney,0.18360304832458496
policemen,0.1830076277256012
ankhi,0.1827322095632553
fazal,0.18264274299144745
biotech,0.18218311667442322
software,0.18190963566303253
lastminute,0.1811487078666687
linkedin,0.18114089965820312
member,0.18103301525115967
saini,0.1806662678718567
ones,0.18056681752204895
salaried,0.17934882640838623
billion,0.1789877861738205
policies,0.17843325436115265
doctors,0.17802253365516663
behind,0.1758013665676117
chances,0.1740584373474121
surrogacy,0.17405182123184204
muslims,0.1726512908935547
hindienglish,0.1718723028898239
se,0.17110063135623932
microsoft,0.17078660428524017
pressure,0.17036543786525726
survivors,0.16996361315250397
clearing,0.1692824810743332
wild,0.16916678845882416
fold,0.1691124141216278
reliance,0.16874410212039948
australia,0.16871844232082367
contest,0.16827404499053955
up,0.1679585576057434
remdesivir,0.16790370643138885
restart,0.1677403748035431
bottle,0.16767734289169312
disputes,0.16709022223949432
copy,0.16679877042770386
wish,0.16676825284957886
except,0.1665664166212082
lpg,0.16536015272140503
centres,0.16511018574237823
xfactors,0.1644054800271988
retellings,0.16391552984714508
territorial,0.16362924873828888
q52,0.16337594389915466
stonepelting,0.16335810720920563
neet,0.16321857273578644
rajasthan,0.1631658524274826
festivities,0.16296228766441345
must,0.16197629272937775
terrorist,0.1614878624677658
rai,0.1613440066576004
marksheet,0.16003519296646118
commonly,0.1596079170703888
12,0.1590087115764618
importance,0.15899819135665894
