word,cosine_distance
embrace,0.31511032581329346
witness,0.27876195311546326
worth,0.2661449909210205
pollution,0.2599238455295563
year,0.25625452399253845
trade,0.2557084858417511
available,0.24998268485069275
nifty,0.24858880043029785
bihar,0.24041883647441864
monthly,0.2343589812517166
repunte,0.22943267226219177
25,0.2246072143316269
alia,0.22413049638271332
money,0.22223278880119324
luviena,0.2193087637424469
liplock,0.21396082639694214
return,0.20977498590946198
store,0.20950649678707123
chowk,0.20742464065551758
private,0.20275753736495972
2022,0.2026929259300232
ishaa,0.20125317573547363
studies,0.20106109976768494
role,0.1999874711036682
obstacles,0.1989150196313858
epfo,0.19812417030334473
लेटेस्ट,0.19744408130645752
pooja,0.19701366126537323
virtual,0.1960657387971878
tenants,0.1958814114332199
birthday,0.1911068558692932
karan,0.18921761214733124
snacks,0.18853075802326202
patrick,0.18852964043617249
majhi,0.18809983134269714
lakshmi,0.18775618076324463
progress,0.18671965599060059
kumars,0.18589641153812408
myths,0.18486489355564117
screen,0.18479633331298828
myth,0.1845887452363968
singleday,0.18436650931835175
kamya,0.18430426716804504
luxurious,0.18413972854614258
379,0.1831536740064621
containment,0.1827043741941452
mommiestobe,0.18263350427150726
rent,0.1822153627872467
8,0.1802634298801422
nominations,0.1786079704761505
1st,0.17852190136909485
and,0.17841234803199768
zerooil,0.17815832793712616
science,0.17799708247184753
rallies,0.17796318233013153
hug,0.17782650887966156
rai,0.17764164507389069
tiwari,0.1774890422821045
flying,0.17680086195468903
lifted,0.17650236189365387
diva,0.17614471912384033
gracious,0.1757030338048935
salman,0.1749410480260849
vadodara,0.17413634061813354
shahid,0.17244479060173035
they,0.17243656516075134
pharma,0.17241844534873962
safe,0.17235501110553741
latter,0.172207772731781
calculated,0.1721787303686142
kashmera,0.17115460336208344
engagement,0.16924002766609192
papa,0.16772979497909546
preelection,0.1670190691947937
forecast,0.16683687269687653
aniruddh,0.16674968600273132
ensemble,0.16657288372516632
government,0.16586951911449432
market,0.16573530435562134
rumoured,0.16449736058712006
bidens,0.16417871415615082
microsoft,0.16392970085144043
upset,0.1637815684080124
94,0.16305461525917053
fire,0.16204343736171722
revival,0.16200187802314758
2055,0.16142535209655762
lyricist,0.16086028516292572
bezos,0.1598227173089981
webinar,0.1593218296766281
curb,0.1592937707901001
bse,0.15809914469718933
jail,0.158069908618927
duplicate,0.15788018703460693
80th,0.15717117488384247
chef,0.15709243714809418
occur,0.15692616999149323
x50,0.15680551528930664
aankhon,0.15647020936012268
vow,0.1562412530183792
